Year,blueline1,blueline2,blueline3,blueline4,blueline5,blueline6,redline1,redline2,redline3,redline4,redline5,redline6,Precipitation,Temperature,BW,GW,Region,Scenario
2087,106.7613019,83.53981629,86.91689297,79.42416134,79.910623,63.98602236,18.4220008,16.50356909,16.17763019,18.38789896,16.45648482,19.51320447,63.98602236,19.51320447,11.64493011,74.75714457,Natural Lands,CNRM-SSP126
2088,88.56054313,89.54764377,95.54456869,59.18690096,80.79005591,70.81485623,17.65496645,17.60722165,16.53599601,18.89648482,16.69720727,19.14839936,70.81485623,19.14839936,18.04911581,78.71193011,Natural Lands,CNRM-SSP126
2089,84.08578275,100.5230032,86.8653754,75.24313099,83.70307508,87.14245208,16.55797724,15.75671645,16.54752396,17.40635743,16.39568251,18.37069209,87.14245208,18.37069209,17.12422564,77.10788498,Natural Lands,CNRM-SSP126
2090,84.70738818,92.07340256,102.5684105,78.86501597,82.69508786,99.28426518,17.35290974,16.59051677,16.78016294,18.83755431,17.53504712,16.44158746,99.28426518,16.44158746,28.39689137,82.73182508,Natural Lands,CNRM-SSP126
2091,91.41988818,87.49928115,75.15686901,84.45335463,84.78234824,42.26980831,16.53754673,16.55896086,17.79608506,18.73157428,16.87145288,17.76200439,42.26980831,17.76200439,10.46996845,71.6864988,Natural Lands,CNRM-SSP126
2092,98.12252396,105.609984,82.16633387,86.28430511,80.60563099,74.29952077,15.51424641,17.88783626,16.74410064,18.31111262,16.44226877,18.88253794,74.29952077,18.88253794,15.84361502,74.81104353,Natural Lands,CNRM-SSP126
2093,93.24564696,82.10123802,70.73857827,77.39836262,94.94245208,79.79836262,17.52799561,16.67035783,17.06126398,19.89002236,16.80971885,20.19997843,79.79836262,20.19997843,18.18789018,81.01511382,Natural Lands,CNRM-SSP126
2094,111.7382188,91.40003994,88.3840655,79.26289936,75.25567093,91.79848243,17.09926198,17.33717891,18.01679113,18.88901518,17.69727436,16.71314537,91.79848243,16.71314537,19.42282268,78.04469449,Natural Lands,CNRM-SSP126
2095,100.9713259,61.37132588,103.9900559,64.36301917,78.21549521,43.88091054,16.58819928,17.40275359,18.47704273,16.98465096,15.29756669,19.60255911,43.88091054,19.60255911,11.13335024,69.40575958,Natural Lands,CNRM-SSP126
2096,89.13214856,111.3648163,95.52583866,79.95842652,85.16297923,117.8516374,18.54861701,16.98236342,16.69413339,18.57241693,17.15409904,16.88490216,117.8516374,16.88490216,32.15005751,81.96854593,Natural Lands,CNRM-SSP126
2097,63.33845847,90.92919329,80.90447284,79.91170128,91.8047524,100.0605431,16.67473243,17.62334625,16.15108307,18.48034704,18.48917971,16.4668726,100.0605431,16.4668726,32.80635463,78.56165415,Natural Lands,CNRM-SSP126
2098,81.10307508,100.5441294,88.92396166,79.82891374,57.02392173,121.1278355,18.05155272,16.62353554,16.17525799,19.64522404,16.14167212,17.03208387,121.1278355,17.03208387,30.61971206,79.21607867,Natural Lands,CNRM-SSP126
2099,91.91417732,91.75239617,73.65059904,107.409385,77.60974441,105.3378195,16.47119209,15.676498,17.48840815,18.00319768,16.67979353,17.41551757,105.3378195,17.41551757,31.90554593,83.29404832,Natural Lands,CNRM-SSP126
2070,79.00520833,54.07018229,76.63476563,88.07460938,88.48294271,82.66341146,13.95520443,14.00568229,14.90614453,15.8608737,13.6235638,14.73328646,82.66341146,14.73328646,17.85684375,58.70073307,Mountainous Lands,CNRM-SSP126
2071,72.26783854,99.96015625,103.0760417,105.8759115,114.3089844,79.54908854,14.81204297,13.13788411,13.8733151,15.53879036,13.44457943,13.7646276,79.54908854,13.7646276,19.03826302,61.12110417,Mountainous Lands,CNRM-SSP126
2072,62.27291667,82.97213542,74.09375,75.19596354,92.87317708,124.0916667,15.10673438,13.43658464,14.77008854,14.85836198,12.82217578,12.95148438,124.0916667,12.95148438,42.05935807,70.25393099,Mountainous Lands,CNRM-SSP126
2073,80.50104167,88.23502604,88.16315104,110.1626302,63.19752604,64.55065104,14.27496745,13.77967448,12.07385417,13.67614193,14.59992839,13.08516797,64.55065104,13.08516797,20.74807682,54.86248698,Mountainous Lands,CNRM-SSP126
2074,62.11276042,50.09778646,49.45130208,100.0061198,70.09570313,126.0109375,15.13365885,15.35903125,17.28195443,16.17525521,15.23673438,13.53078776,126.0109375,13.53078776,48.98279948,69.75184245,Mountainous Lands,CNRM-SSP126
2075,63.63098958,40.33580729,66.80091146,92.67877604,48.27565104,51.81484375,14.55151693,15.8178776,14.47176563,14.21883984,14.21440885,14.19369661,51.81484375,14.19369661,14.73285286,52.41689323,Mountainous Lands,CNRM-SSP126
2076,97.35325521,70.20065104,67.74947917,63.57838542,98.57929688,42.45546875,15.41252995,14.9636849,14.12079167,15.92919792,13.94210807,15.29753906,42.45546875,15.29753906,10.55858464,48.0379974,Mountainous Lands,CNRM-SSP126
2077,84.83346354,76.61627604,87.88684896,103.1367188,74.29986979,98.025,14.54438151,13.92696745,13.41002083,14.29847656,14.11519271,13.09122135,98.025,13.09122135,27.37561328,68.09147526,Mountainous Lands,CNRM-SSP126
2078,77.35833333,73.30768229,56.65572917,45.48085938,43.62200521,122.9289063,15.34361719,15.13052865,15.802125,16.11754167,14.40066927,13.28328255,122.9289063,13.28328255,40.53286198,67.05603776,Mountainous Lands,CNRM-SSP126
2079,65.22552083,67.78997396,91.75377604,59.89322917,76.70364583,51.67825521,15.89878255,15.24826693,13.90164974,15.65466276,13.44872917,14.8280013,51.67825521,14.8280013,12.96188411,53.64976953,Mountainous Lands,CNRM-SSP126
2080,94.97135417,91.89986979,103.4705729,71.10104167,59.13567708,45.02708333,13.37530469,14.10497005,14.01976172,15.64359505,13.91675781,14.39107552,45.02708333,14.39107552,11.50939323,46.03472786,Mountainous Lands,CNRM-SSP126
2081,80.25924479,93.82825521,88.7875,109.7571615,70.80872396,48.41210938,14.72401563,12.9188125,12.97519141,13.79389323,14.3558151,14.9294375,48.41210938,14.9294375,9.743253906,45.78700521,Mountainous Lands,CNRM-SSP126
2082,61.12721354,95.02356771,82.84414063,107.7148438,113.208724,123.2484375,13.7905599,14.84393229,15.16208594,13.46665755,12.58988802,12.88150911,123.2484375,12.88150911,41.74111979,69.96386458,Mountainous Lands,CNRM-SSP126
2083,73.10182292,87.02591146,77.61263021,89.33932292,61.81770833,64.20638021,14.56871224,14.1522513,13.94202344,14.38164063,13.06880339,14.1945651,64.20638021,14.1945651,16.09847135,52.76577734,Mountainous Lands,CNRM-SSP126
2084,144.9703125,79.71119792,84.36106771,154.7375,48.53802083,38.82513021,13.9185612,12.83416146,13.9410612,15.20108073,15.32682552,16.50504167,38.82513021,16.50504167,7.781942708,43.87282682,Mountainous Lands,CNRM-SSP126
